student_id,student_name,parent_phone,facilitator_email,campus_id,risk_level,whatsapp_message,generated_by
S004,Fatima Al-Qahtani,966501234504,facilitator1@noon.com,C01,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S008,Maryam Al-Zahrani,+966501234508,facilitator1@noon.com,C01,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S012,Amal Al-Juhani,+966501234512,facilitator1@noon.com,C01,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S019,Khalid Al-Anzi,+966501234519,facilitator1@noon.com,C01,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S022,Nora Al-Qaisi,+966501234522,facilitator2@noon.com,C01,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S027,Ahmad Al-Salem,+966501234527,facilitator2@noon.com,C01,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S033,Abdullah Al-Saud,+966501234533,facilitator2@noon.com,C01,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S038,Layla Al-Shammari,+966501234538,facilitator2@noon.com,C01,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S041,Omar Al-Juhani,+966501234541,facilitator3@noon.com,C02,HIGH,Hi! We've noticed S041 has been less engaged with their studies lately. We'd love to support them in getting back on track. Could we schedule a quick chat this week to discuss how we can help? Your partnership is important to their success.,llm
S044,Maryam Al-Faraj,+966501234544,facilitator3@noon.com,C02,HIGH,"We'd like to touch base with you about S044's progress. They're actively practicing, but we want to help them convert that effort into stronger quiz results. Let's chat this week about what additional support might help.",llm
